Data;Tmed;Tmax;Tmin;UR;U2;PP;Rg (MJ);ET (mm/dia);Indice UV
01/06/2024;"26.53";32;"23.1";"92.62";"0.71";"0.50";"16.57";"3.09";"2.55"
02/06/2024;"26.96";"32.6";"23.7";"91.88";"0.72";"12.70";"16.74";"3.16";"2.47"
03/06/2024;"25.78";"30.2";24;"94.19";"0.60";"18.02";"11.95";"2.28";"2.56"
04/06/2024;"25.90";"31.1";"23.4";"93.83";"0.47";"1.78";"12.35";"2.38";"2.13"
05/06/2024;"27.45";"32.5";"23.6";"89.48";"0.71";"0.00";"21.67";"4.03";"2.72"
06/06/2024;"27.80";"33.9";"24.2";"87.81";"0.77";"23.62";"20.80";"3.96";"2.65"
07/06/2024;"26.95";"31.4";"24.9";"91.90";"0.73";"3.04";"15.28";"3.05";"2.46"
08/06/2024;"26.90";"33.2";"24.4";"91.83";"0.49";"6.35";"14.22";"2.78";"2.54"
09/06/2024;"26.24";"31.7";"23.4";"93.46";"0.44";"7.62";"11.84";"2.28";"2.15"
10/06/2024;"26.03";"29.9";"23.9";"94.21";"0.49";"4.83";"10.92";"2.11";"2.03"
11/06/2024;"26.17";"31.6";"23.6";"93.38";"0.40";"5.33";"10.72";"2.16";"1.94"
12/06/2024;"26.71";"33.3";"23.2";"91.15";"0.49";"2.28";"17.57";"3.27";"2.74"
13/06/2024;"26.16";31;"23.2";"93.40";"0.65";"8.64";"11.51";"2.23";"2.08"
14/06/2024;"26.79";"32.6";24;"91.06";"0.80";"4.83";"16.29";"3.08";"2.34"
15/06/2024;"26.25";"31.8";"23.3";"91.56";"0.69";"16.77";"14.71";"2.87";"2.53"
16/06/2024;"26.92";"32.4";"23.2";"90.13";"0.46";"5.84";"17.28";"3.32";"2.44"
17/06/2024;"26.29";"31.6";"22.5";"91.50";"0.41";"1.78";"17.33";"3.25";"2.58"
18/06/2024;"26.54";"32.6";"23.2";"90.94";"0.56";"2.28";"18.18";"3.39";"2.52"
19/06/2024;"26.75";"32.1";"23.2";"91.06";"0.72";"0.25";"16.49";"3.12";"2.30"
20/06/2024;"26.20";"31.9";"23.7";"92.40";"0.37";"14.73";"12.14";"2.42";"2.53"
21/06/2024;"25.63";"31.1";"23.8";"94.29";"0.31";"28.70";"8.34";"1.56";"1.88"
22/06/2024;"26.02";"31.4";"22.8";"92.85";"0.37";"8.12";"12.77";"2.48";"1.94"
23/06/2024;"25.96";"31.1";"22.1";"92.77";"0.45";"0.00";"12.60";"2.44";"1.99"
24/06/2024;"25.72";"30.1";"23.8";"93.81";"0.53";"29.20";"11.45";"2.22";"1.77"
25/06/2024;"26.86";"31.7";"23.8";"91.27";"0.53";"0.51";"19.81";"3.63";"2.51"
26/06/2024;"26.09";"32.6";"22.2";"90.33";"0.64";"32.26";"18.65";"3.37";"2.42"
27/06/2024;"25.41";"31.3";"22.7";"93.25";"0.44";"8.89";"15.02";"2.75";"2.37"
28/06/2024;"26.41";"31.7";"22.6";"91.54";"0.55";"7.11";"18.37";"3.44";"2.48"
29/06/2024;"26.49";"32.2";"22.5";"91.21";"0.60";"9.14";"17.72";"3.37";"2.31"
30/06/2024;"25.47";"31.6";"22.2";"92.52";"0.63";"17.01";"15.79";"2.99";"2.45"
01/07/2024;"26.16";"31.3";"22.9";"92.35";"0.61";"7.87";"17.78";"3.24";"2.59"
02/07/2024;"26.71";"31.4";"23.4";"91.77";"0.69";"1.02";"16.24";"3.05";"2.33"
03/07/2024;"25.71";"30.7";"23.4";"92.98";"0.70";"7.61";"14.68";"2.74";"2.22"
04/07/2024;"25.88";"31.8";"22.6";"92.75";"0.53";"28.95";"14.54";"2.73";"2.69"
05/07/2024;"24.84";"27.6";"23.7";"95.33";"0.14";"0.00";"18.89";"0.10";"0.75"
06/07/2024;"27.26";"32.3";"23.2";"82.71";"1.88";"0.2";"19.22";;
07/07/2024;"26.49";"32.3";22;"84.21";"1.10";0;"21.84";;
08/07/2024;"26.29";"32.5";"23.2";"87.08";"0.85";"2.2";"16.62";;
09/07/2024;"25.88";"31.6";"22.8";"90.75";"1.17";"7.4";"17.72";;
10/07/2024;"27.14";"31.7";"23.9";"83.08";"2.17";0;"20.95";;
11/07/2024;"26.91";"32.2";"23.7";"83.13";"2.22";"0.4";"18.67";;
12/07/2024;"26.10";"32.5";"23.2";"87.92";"1.29";"0.4";"15.03";;
13/07/2024;"26.60";"32.7";"23.4";"87.83";"1.12";"17.6";"20.01";;
14/07/2024;"26.83";"32.8";23;"85.67";"1.17";"0.2";"19.35";;
15/07/2024;"27.15";"32.9";"23.7";"82.67";"1.18";"3.2";"19.05";;
16/07/2024;"26.87";"32.1";"23.7";"86.50";"0.98";"0.4";"16.22";;
17/07/2024;"26.81";"32.8";"22.2";"82.46";"1.50";0;"21.83";;
18/07/2024;"27.37";"32.4";23;"82.63";"1.53";0;"20.95";;
19/07/2024;"27.29";"33.2";"23.1";"82.67";"1.45";0;"22.14";;
20/07/2024;"27.32";"33.8";"23.2";"83.54";"1.53";0;"21.46";;
21/07/2024;"27.07";"33.2";"23.5";"82.25";"1.44";0;"17.69";;
22/07/2024;"26.98";"33.9";23;"83.42";"1.41";"4.8";"20.90";;
23/07/2024;"27.18";"32.2";"23.5";"84.71";"1.84";"1.4";"20.56";;
24/07/2024;"26.70";"32.5";"23.4";"87.63";"1.05";20;"16.56";;
25/07/2024;"26.98";"32.5";"23.6";"85.04";"1.47";"1.4";"20.52";;
26/07/2024;"26.95";32;"22.4";"80.04";"1.88";0;"21.14";;
27/07/2024;"27.00";"32.6";"22.4";"78.08";"1.79";0;"22.19";;
28/07/2024;"26.32";"31.8";"22.7";"86.67";"1.44";"6.2";"19.72";;
29/07/2024;"27.28";"32.7";24;"82.13";"1.72";"0.2";"21.15";;
30/07/2024;"27.70";"32.9";"24.2";"81.92";"1.93";0;"21.10";;
31/07/2024;"27.74";"32.6";"24.7";"80.67";"2.50";0;"21.32";;
01/08/2024;"26.21";"31.4";"22.9";"88.04";"1.50";"2.8";"16.46";;
02/08/2024;"25.24";"31.6";"21.8";"91.13";"1.12";4;"13.70";;
03/08/2024;"26.84";"32.7";22;"81.71";"1.60";0;"23.42";;
04/08/2024;"26.99";"33.3";"22.5";"82.00";"1.79";0;"22.06";;
05/08/2024;"27.04";"32.3";"22.7";"81.79";"1.92";0;"19.27";;
06/08/2024;"27.10";"32.7";"22.9";"82.96";"1.83";0;"18.97";;
07/08/2024;"26.64";"33.3";23;"85.13";"1.33";6;"16.84";;
08/08/2024;"27.25";"32.2";"23.7";"84.54";"2.15";0;"20.33";;
09/08/2024;"27.81";"32.2";25;"82.21";"2.16";0;"20.96";;
10/08/2024;"27.56";"32.8";"24.1";"81.08";"2.59";0;"19.45";;
11/08/2024;"27.33";"31.8";"23.6";"82.17";"2.27";0;"20.20";;
12/08/2024;"27.14";32;"23.2";"80.96";"2.22";0;"20.39";;
13/08/2024;"27.10";"31.5";"22.8";"82.71";"2.22";0;"20.93";;
14/08/2024;"26.72";"31.2";"23.2";"82.63";"2.04";0;"17.08";;
15/08/2024;"26.94";"32.4";"22.6";"80.50";"1.87";0;"17.27";;
16/08/2024;"27.27";"32.2";"24.1";"80.00";"2.33";0;"18.85";;
17/08/2024;"27.44";"33.1";"23.6";"80.46";"2.50";0;"20.13";;
18/08/2024;"27.45";"32.7";"23.3";"79.83";"2.10";0;"22.91";;
19/08/2024;"27.33";"33.2";"23.2";"82.17";"2.18";0;"21.65";;
20/08/2024;"27.59";"33.2";23;"80.88";"2.12";0;"23.09";;
21/08/2024;"27.88";"32.9";"24.2";"80.75";"2.53";0;"20.78";;
22/08/2024;"27.73";"32.6";"24.8";"80.08";"2.91";"0.2";"19.08";;
23/08/2024;"27.37";"32.1";"23.5";"79.29";"2.35";0;"17.77";;
24/08/2024;"26.94";"32.7";"22.8";"80.46";"2.04";0;"16.86";;
25/08/2024;"27.67";"34.3";"21.8";"78.46";"1.80";0;"23.20";;
26/08/2024;"27.06";"32.2";"22.9";"85.83";"1.33";0;"17.57";;
27/08/2024;"27.35";32;"23.6";"84.04";"1.87";0;"17.38";;
28/08/2024;"27.04";"31.9";"24.1";"84.54";"1.89";"13.4";"14.15";;
29/08/2024;"26.81";"31.5";"23.6";"83.88";"2.08";"17.2";"13.91";;
30/08/2024;"27.40";"33.1";"23.8";"80.00";"2.35";0;"22.93";;
31/08/2024;"27.60";"32.8";"23.2";"78.42";"2.43";0;"20.93";;
01/09/2024;"27.63";"32.8";24;"80.63";"2.47";0;"23.75";;
02/09/2024;"27.50";"32.2";"24.1";"80.17";"2.55";0;"23.64";;
03/09/2024;"27.80";"32.9";"24.1";"79.42";"2.30";0;"23.70";;
04/09/2024;"27.85";"33.5";"24.1";"80.50";"2.39";0;"21.96";;
05/09/2024;"27.96";"32.6";"24.6";"77.00";"3.21";0;"22.04";;
06/09/2024;"27.93";"32.7";"24.6";"76.29";"3.03";0;"22.37";;
07/09/2024;"28.28";"34.7";"22.1";"83.61";"1.52";"0.00";"20.13";"4.25";"3.18"
08/09/2024;"27.48";34;"22.8";"85.50";"1.24";"0.00";"16.50";"3.47";"2.61"
09/09/2024;"27.45";"33.9";"22.6";"84.10";"1.30";"0.00";"16.56";"3.60";"2.70"
10/09/2024;"27.76";"34.2";"23.1";"84.00";"1.55";"0.00";"19.65";"4.21";"3.09"
11/09/2024;"27.54";"33.9";"22.9";"85.69";"1.48";"0.00";"19.35";"4.06";"2.93"
12/09/2024;"27.35";"32.9";"23.3";"86.60";"1.30";"0.25";"15.43";"3.23";"2.56"
13/09/2024;"27.63";"33.8";23;"83.04";"1.56";"0.50";"21.20";"4.42";"3.47"
14/09/2024;"27.19";34;"21.7";"84.35";"1.44";"0.00";"18.87";"3.99";"3.04"
15/09/2024;"27.99";"34.6";"23.2";"83.75";"1.63";"0.00";"21.21";"4.51";"3.45"
16/09/2024;"27.94";"33.8";"23.2";"83.29";"1.50";"0.00";"17.94";"4.04";"3.14"
17/09/2024;"27.87";"33.9";"23.3";"82.96";"1.77";"0.00";"19.95";"4.41";"3.73"
18/09/2024;"27.45";"33.4";"22.4";"82.83";"1.52";"0.00";"19.12";"4.26";"3.62"
